受注No,受注日,得意先,得意先注文No,製品名１,製品名２,受注数量,単位,台数,受注金額,納期,納期返事,版区,入日,工程１－工程名,工程１－号機名,工程１－完了日,工程１－完了数,工程２－工程名,工程２－号機名,工程２－完了日,工程２－完了数,工程３－工程名,工程３－号機名,工程３－完了日,工程３－完了数,工程４－工程名,工程４－号機名,工程４－完了日,工程４－完了数,工程５－工程名,工程５－号機名,工程５－完了日,工程５－完了数,工程６－工程名,工程６－号機名,工程６－完了日,工程６－完了数,工程７－工程名,工程７－号機名,工程７－完了日,工程７－完了数,工程８－工程名,工程８－号機名,工程８－完了日,工程８－完了数,工程９－工程名,工程９－号機名,工程９－完了日,工程９－完了数,工程１０－工程名,工程１０－号機名,工程１０－完了日,工程１０－完了数,最終納品日,最終伝票No,納品金額,状態１,状態２
0000325640-000,2026/05/01,長崎メディア,,PET パウチ 300μ 銀,,1000,枚,  0,83563,2026/08/26,2026/07/23,新版,2026/05/25,印刷,2-Ｆ号機,2026/07/15 確,0,スリッター,５号機,2026/07/16 確,0,サイド,４号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325641-000,2026/05/01,岡山フィルム㈲,ORD-36062,NY チューブ 100μ クリア,,40000,枚,  0,850800,2026/07/01,2026/07/01,旧版,,印刷,4号機,2026/06/19 確,0,ラミネート,Ｌ１号,2026/06/22 確,0,スリッター,４号機,2026/06/23 確,0,サイド,１５号機,2026/06/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325642-000,2026/05/01,福岡産業,ORD-95181,PE フィルム 300μ 透明,,9411,枚,  0,835392,2026/05/25,2026/06/09,新版,2026/04/27,印刷,1号機,2026/05/22 完,1820,ラミネート,Ｌ2号機,2026/06/02 完,1700,三方,１０号機,2026/06/04 完,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/09,348517,671412,,
0000325643-000,2026/05/01,東京クリエイト㈱,,CPP シート 100μ 黒,,304,枚,  0,539898,2026/05/28,2026/06/01,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/18 完,600,ラミネート,Ｌ2号機,2026/05/22 完,560,スリッター,５号機,2026/05/26 完,550,合掌,８号機,2026/05/27 完,304,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/01,348145,331148,,
0000325644-000,2026/05/01,岡山フィルム㈲,ORD-68878,EVOH テープ 300μ 青,,139200,枚,  0,717889,2026/07/01,2026/07/01,旧版,,印刷,4号機,2026/06/19 確,0,ラミネート,Ｌ１号,2026/06/22 確,0,スリッター,４号機,2026/06/23 確,0,サイド,１５号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325645-000,2026/05/01,浜松メディア,ORD-46463,AL トレー 100μ 銀,,17800,枚,  0,10851,2026/05/28,2026/06/23,旧版,2026/05/13,印刷,2-Ｆ号機,2026/06/16 完,1970,スリッター,６号機,2026/06/18 完,1940,サイド,５号機,2026/06/19 完,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325646-000,2026/05/01,長崎産業,ORD-30926,紙 ラベル 300μ クリア,,15360,ｍ,  0,832052,2026/07/03,2026/07/03,旧版,,印刷,1-Ｆ号機,2026/06/19 確,0,スリッター,２号機,2026/07/02 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325647-000,2026/05/01,東京クリエイト㈱,,不織布 ロール 100μ 透明,,123,枚,  0,543143,2026/05/28,2026/06/01,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/18 完,600,ラミネート,Ｌ2号機,2026/05/22 完,500,スリッター,６号機,2026/05/26 完,490,合掌,８号機,2026/05/26 完,123,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/01,348145,456778,,
0000325648-000,2026/05/01,大阪印刷㈲,ORD-46421,透明 カップ 300μ 黒,,900,ｍ,  0,263032,2026/05/28,2026/05/21,改版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/05/18 完,1100,印刷,2-Ｆ号機,2026/05/21 完,1090,印刷２回目,2-Ｆ号機,2026/05/21 完,1030,スリッター,その他,2026/05/22 確,0,糊貼り加工,,           未,0,巻き直し,,           未,0,,,,,,,,,,,,,,,,,2026/06/11,348530,325772,,
0000325649-000,2026/05/01,長崎パッケージ,ORD-54118,OPP 袋 100μ 青,,37846,枚,  0,207175,2026/06/15,2026/06/30,新版,2026/05/20,印刷,4号機,2026/06/08 完,1940,ラミネート,Ｌ2号機,2026/06/16 完,1850,スリッター,５号機,2026/06/18 完,1830,合掌,８号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325650-000,2026/05/01,広島サプライ(株),ORD-22156,PET パウチ 300μ 銀,,7760,ｍ,  0,498382,2026/06/01,2026/06/04,旧版,,印刷,5号機,2026/06/01 完,7520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/05,348357,201414,,
0000325651-000,2026/05/01,京都産業,,NY チューブ 100μ クリア,,14700,枚,  0,57052,2026/06/08,2026/06/23,無地,,サイド,１５号機,2026/06/10 完,14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325652-000,2026/05/01,浜松パッケージ,ORD-55082,PE フィルム 300μ 透明,,110000,枚,  0,733052,2026/06/22,,改版,2026/05/29,印刷,1号機,2026/06/02 完,11860,ラミネート,Ｌ１号,2026/06/04 完,11710,スリッター,３号機,2026/06/05 完,11620,サイド,ＤＩＭ,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325653-000,2026/05/01,横浜工業(有),ORD-44671,CPP シート 100μ 黒,,2000,枚,  0,946335,2026/05/27,2026/05/28,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/18 完,1100,ラミネート,Ｌ2号機,2026/05/22 完,1030,スリッター,６号機,2026/05/26 完,1020,三方,１０号機,2026/05/27 完,2000,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/29,348068,145561,,
0000325654-000,2026/05/01,広島テック(株),ORD-70217,EVOH テープ 300μ 青,,3680,ｍ,  0,662275,2026/06/09,2026/06/10,新版,2026/05/25,印刷,3号機,2026/05/27 完,3830,ラミネート,Ｌ2号機,2026/06/08 完,3660,スリッター,６号機,2026/06/09 完,3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/10,348570,230889,,
0000325655-000,2026/05/01,岡山印刷㈲,ORD-59615,AL トレー 100μ 銀,,24000,枚,  0,182627,2026/05/11,2026/05/11,旧版,,印刷,5号機,2026/05/08 完,3920,サイド,２３号機,2026/05/09 完,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/11,347392,678856,,
0000325656-000,2026/05/01,京都産業,ORD-48427,OPP 袋 100μ 青,,10800,ｍ,  0,969693,2026/05/28,,旧版,,印刷,5号機,           未,0,ラミネート,宮内紙工,           未,0,検品機,社内検品機２,           未,0,スリッター,２号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000325657-000,2026/05/01,京都産業,ORD-92397,紙 ラベル 300μ クリア,,11040,ｍ,  0,748564,2026/05/27,2026/06/17,旧版,,印刷,5号機,2026/05/29 完,3900,ラミネート,宮内紙工,2026/06/10 完,3850,検品機,社内検品機２,2026/06/15 完,3770,スリッター,２号機,2026/06/16 完,3720,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/17,348687,479201,,
0000325658-000,2026/05/01,京都産業,ORD-85674,不織布 ロール 100μ 透明,,10500,枚,  0,35203,2026/06/09,2026/06/24,無地,,サイド,６号機,2026/06/19 完,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325659-000,2026/05/01,京都産業,ORD-19116,紙 ラベル 300μ クリア,,22560,ｍ,  0,148050,2026/06/15,2026/06/19,旧版,,印刷,5号機,2026/05/29 完,8000,ラミネート,宮内紙工,2026/06/10 完,7870,検品機,社内検品機２,2026/06/12 完,7520,スリッター,２号機,2026/06/15 完,7390,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348838,793384,,
0000325660-000,2026/05/01,新潟デザイン(有),ORD-39871,透明 カップ 300μ 黒,,3560,ｍ,  0,910620,2026/06/08,2026/06/08,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/19 完,2500,ラミネート,Ｌ2号機,2026/05/22 完,2400,巻き直し,社内検品機１,2026/05/25 完,2370,スリッター,５号機,2026/06/04 完,1780,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/10,348466,403445,,
0000325661-000,2026/05/01,札幌製作所㈱,,OPP 袋 100μ 青,,1200,ｍ,  0,183667,2026/05/26,2026/05/26,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/05/19 完,1460,印刷,2-Ｆ号機,2026/05/21 完,1350,検品機,社内検品機３,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/26,347978,996865,,
0000325662-000,2026/05/01,浜松産業,,PET パウチ 300μ 銀,,11803,枚,  0,344098,2026/07/01,2026/06/26,旧版,,印刷,3号機,2026/06/17 完,1870,ラミネート,Ｌ2号機,2026/06/24 確,0,スリッター,５号機,2026/06/25 確,0,その他製袋,アンドアイ,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325663-000,2026/05/01,熊本プリント㈱,ORD-23238,NY チューブ 100μ クリア,,1680,ｍ,  0,498591,2026/07/01,2026/07/01,旧版,,印刷,1号機,2026/06/23 確,0,ラミネート,Ｌ2号機,2026/06/24 確,0,スリッター,６号機,2026/06/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325664-000,2026/05/01,京都メディア,ORD-46434,PE フィルム 300μ 透明,,101714,枚,  0,575435,2026/05/27,2026/07/09,旧版,,印刷,3号機,2026/06/01 完,3870,ラミネート,Ｌ2号機,2026/06/16 完,3780,スリッター,２号機,2026/06/25 確,0,サイド,４号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325665-000,2026/05/01,福岡産業,ORD-93320,CPP シート 100μ 黒,,15040,ｍ,  0,974628,2026/06/04,2026/06/08,旧版,,印刷,5-Ｆ号機,2026/06/03 完,3910,ラミネート,Ｌ2号機,2026/06/04 完,3790,巻き直し,社内検品機１,2026/06/04 完,3760,スリッター,２号機,2026/06/05 完,3720,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/08,348465,482554,,
0000325666-000,2026/05/01,岡山フィルム㈲,ORD-31319,EVOH テープ 300μ 青,,10000,枚,  0,58520,2026/07/01,2026/07/01,旧版,2026/05/20,印刷,2号機,2026/06/16 完,1500,ラミネート,Ｌ１号,2026/06/24 確,0,スリッター,６号機,2026/06/25 確,0,サイド,１４号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325667-000,2026/05/01,神戸加工(有),ORD-56566,AL トレー 100μ 銀,,1880,ｍ,  0,37460,2026/06/10,2026/06/11,旧版,,印刷,1-Ｆ号機,2026/06/01 完,1760,ラミネート,Ｌ2号機,2026/06/08 完,1710,スリッター,６号機,2026/06/10 完,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/12,348565,97841,,
0000325668-000,2026/05/01,神戸加工(有),ORD-44993,紙 ラベル 300μ クリア,,1940,ｍ,  0,99593,2026/06/10,2026/06/11,旧版,,印刷,1-Ｆ号機,2026/06/01 完,1850,ラミネート,Ｌ2号機,2026/06/08 完,1750,スリッター,６号機,2026/06/10 完,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/12,348565,94939,,
0000325669-000,2026/05/01,京都産業,ORD-19358,不織布 ロール 100μ 透明,,7360,ｍ,  0,738720,2026/06/10,2026/06/11,旧版,,印刷,5号機,2026/06/04 完,3690,ラミネート,Ｌ2号機,2026/06/08 完,3440,検品機,社内検品機２,2026/06/09 完,3350,スリッター,２号機,2026/06/10 完,3300,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/11,348549,765822,,
0000325670-000,2026/05/01,千葉ラベル㈲,ORD-32431,透明 カップ 300μ 黒,,14545,枚,  0,80010,2026/06/16,2026/07/06,旧版,,印刷,3号機,2026/05/29 完,1820,ラミネート,Ｌ2号機,2026/06/02 完,1740,スリッター,５号機,2026/06/18 完,1650,合掌,８号機,2026/07/02 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325671-000,2026/05/01,姫路デザイン(有),ORD-42087,OPP 袋 100μ 青,,23280,ｍ,  0,271339,2026/08/06,2026/08/06,旧版,,印刷,5号機,2026/08/03 確,0,スリッター,２号機,2026/08/05 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325672-000,2026/05/01,千葉ラベル㈲,ORD-70589,PET パウチ 300μ 銀,,15238,枚,  0,497887,2026/05/27,2026/06/09,旧版,,印刷,2号機,2026/05/09 完,1970,ラミネート,Ｌ１号,2026/05/11 完,1910,スリッター,６号機,2026/05/13 完,1880,サイド,１７号機,2026/06/02 完,16300,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/10,348521,383060,,
0000325673-000,2026/05/01,浜松メディア,ORD-93886,NY チューブ 100μ クリア,,48000,枚,  0,83000,2026/05/28,2026/05/28,無地,,カット大谷,大谷ｶｯﾄ,2026/05/25 完,48000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/28,348026,38785,,
0000325674-000,2026/05/01,新潟加工(有),,PE フィルム 300μ 透明,,8736,枚,  0,99733,2026/05/28,2026/06/19,旧版,,印刷,3号機,2026/05/28 完,1790,ラミネート,Ｌ１号,2026/06/05 完,1730,スリッター,６号機,2026/06/09 完,1700,カット大谷,大谷ｶｯﾄ,2026/06/15 完,9018,後加工,後加工（断裁,2026/06/17 完,8800,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325675-000,2026/05/01,新潟工業(有),ORD-52504,CPP シート 100μ 黒,,8545,枚,  0,17331,2026/06/01,2026/06/09,無地,,サイド,２１号機,2026/05/27 完,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/11,348493,40021,,
0000325676-000,2026/05/01,京都産業,ORD-14207,EVOH テープ 300μ 青,,16202,枚,  0,51347,2026/05/28,2026/06/29,無地,,サイド,６号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325677-000,2026/05/01,札幌プリント㈱,,AL トレー 100μ 銀,,11280,ｍ,  0,62581,2026/06/01,2026/06/05,旧版,,印刷,5号機,2026/06/02 完,3940,スリッター,３号機,2026/06/03 完,3890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/09,348412,45093,,
0000325678-000,2026/05/01,埼玉プリント㈱,ORD-18675,紙 ラベル 300μ クリア,,17090,枚,  0,37653,2026/06/01,2026/07/08,無地,,サイド,２２号機,2026/06/26 確,0,後加工,後加工（ｼｭｰｸ,2026/06/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325679-000,2026/05/02,長崎産業,ORD-84341,不織布 ロール 100μ 透明,,22800,ｍ,  0,852787,2026/06/01,2026/06/24,旧版,,印刷,3号機,2026/06/04 完,7660,スリッター,２号機,2026/06/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325680-000,2026/05/02,姫路工業(有),ORD-51245,透明 カップ 300μ 黒,,103225,枚,  0,322955,2026/06/29,2026/08/03,無地,,サイド,２号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325681-000,2026/05/02,姫路工業(有),ORD-95909,OPP 袋 100μ 青,,103225,枚,  0,623481,2026/06/22,2026/07/13,無地,,サイド,２号機,2026/06/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325682-000,2026/05/02,千葉ラベル㈲,ORD-61856,PET パウチ 300μ 銀,,58181,枚,  0,774079,2026/06/05,2026/07/01,改版,2026/05/27,印刷,5号機,2026/06/03 完,1930,ラミネート,Ｌ2号機,2026/06/04 完,1860,スリッター,５号機,2026/06/10 完,1850,サイド,１９号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325683-000,2026/05/02,福岡産業,ORD-70142,NY チューブ 100μ クリア,,9111,枚,  0,249811,2026/08/29,2026/09/01,新版,2026/06/30,印刷,3号機,2026/08/21 確,0,ラミネート,Ｌ2号機,2026/08/24 確,0,三方,１０号機,2026/08/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325684-000,2026/05/02,福岡産業,ORD-44718,PE フィルム 300μ 透明,,11661,枚,  0,246413,2026/06/25,2026/06/25,改版,2026/05/22,印刷,3号機,2026/06/16 完,3800,ラミネート,Ｌ2号機,2026/06/17 完,3690,スリッター,６号機,2026/06/19 確,0,合掌,９号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325685-000,2026/05/02,千葉ラベル㈲,ORD-42325,CPP シート 100μ 黒,,48571,枚,  0,881177,2026/06/30,2026/07/09,改版,2026/06/02,印刷,1号機,           削,0,ラミネート,Ｌ１号,           削,0,スリッター,４号機,           削,0,サイド,１９号機,           削,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000325686-000,2026/05/02,千葉ラベル㈲,ORD-83579,EVOH テープ 300μ 青,,48571,枚,  0,665158,2026/06/30,2026/07/10,改版,2026/06/02,印刷,1号機,           削,0,ラミネート,Ｌ１号,           削,0,スリッター,４号機,           削,0,サイド,１９号機,           削,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000325687-000,2026/05/02,岡山フィルム㈲,ORD-44438,AL トレー 100μ 銀,,30370,枚,  0,883300,2026/06/29,2026/06/29,新版,2026/05/18,印刷,3号機,2026/06/17 完,1870,ラミネート,Ｌ2号機,2026/06/18 完,1770,スリッター,５号機,2026/06/22 確,0,サイド,１２号機,2026/06/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325688-000,2026/05/02,熊本プリント㈱,ORD-86622,紙 ラベル 300μ クリア,,10800,ｍ,  0,549245,2026/07/08,2026/07/08,新版,2026/05/19,印刷,3号機,2026/06/30 確,0,ラミネート,Ｌ2号機,2026/07/06 確,0,スリッター,２号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325689-000,2026/05/02,熊本プリント㈱,ORD-86484,不織布 ロール 100μ 透明,,10800,ｍ,  0,518801,2026/07/08,2026/07/08,新版,2026/05/19,印刷,3号機,2026/06/30 確,0,ラミネート,Ｌ2号機,2026/07/06 確,0,スリッター,２号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325690-000,2026/05/02,新潟工業(有),ORD-57447,透明 カップ 300μ 黒,,375000,枚,  0,329974,2026/07/06,2026/06/09,無地,,サイド,アンドアイ,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325691-000,2026/05/02,岡山フィルム㈲,ORD-28131,OPP 袋 100μ 青,,67200,枚,  0,634277,2026/07/08,2026/07/02,旧版,2026/05/20,印刷,2号機,2026/06/10 完,1990,ラミネート,Ｌ１号,2026/06/15 完,1910,スリッター,６号機,2026/06/24 確,0,サイド,１５号機,2026/06/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325692-000,2026/05/02,新潟工業(有),ORD-74686,PET パウチ 300μ 銀,,375000,枚,  0,195325,2026/07/06,2026/06/09,無地,,サイド,トヨパック,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325693-000,2026/05/02,岡山フィルム㈲,ORD-16175,NY チューブ 100μ クリア,,15000,枚,  0,24371,2026/07/01,2026/07/01,旧版,2026/05/20,印刷,2号機,2026/06/10 完,1430,ラミネート,Ｌ１号,2026/06/15 完,1400,スリッター,６号機,2026/06/24 確,0,サイド,１５号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325694-000,2026/05/02,川崎テック(株),ORD-30033,PE フィルム 300μ 透明,,77037,枚,  0,757924,2026/06/15,2026/07/10,新版,2026/06/04,印刷,4号機,2026/06/08 完,8000,ラミネート,Ｌ１号,2026/06/17 完,7890,スリッター,４号機,2026/06/23 確,0,サイド,１号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325695-000,2026/05/07,岡山フィルム㈲,ORD-30969,CPP シート 100μ 黒,,60000,枚,  0,930555,2026/07/08,2026/07/08,旧版,,印刷,3号機,2026/06/22 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,５号機,2026/06/26 確,0,サイド,１５号機,2026/07/02 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325696-000,2026/05/07,岡山フィルム㈲,ORD-99192,EVOH テープ 300μ 青,,100000,枚,  0,542666,2026/07/08,2026/07/08,旧版,,印刷,3号機,2026/06/22 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,５号機,2026/06/26 確,0,サイド,１５号機,2026/06/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325697-000,2026/05/07,福岡パッケージ,,AL トレー 100μ 銀,,7680,ｍ,  0,725380,2026/06/01,2026/06/17,無地,,ラミネート,宮内紙工,2026/06/15 完,3980,スリッター,２号機,2026/06/16 完,3910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/18,348776,166613,,
0000325698-000,2026/05/07,福岡パッケージ,,紙 ラベル 300μ クリア,,7680,ｍ,  0,503457,2026/06/01,2026/06/09,無地,,ラミネート,Ｌ2号機,2026/06/04 完,3910,スリッター,５号機,2026/06/05 完,3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/10,348490,500156,,
0000325699-000,2026/05/07,岡山フィルム㈲,ORD-88104,不織布 ロール 100μ 透明,,41000,枚,  0,590785,2026/07/10,2026/07/10,旧版,2026/05/18,印刷,2号機,2026/06/18 完,1970,ラミネート,Ｌ１号,2026/06/29 確,0,スリッター,６号機,2026/07/03 確,0,サイド,１５号機,2026/07/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000325700-000,2026/05/07,岡山ラベル㈲,ORD-79352,透明 カップ 300μ 黒,,46560,ｍ,  0,363626,2026/06/30,2026/06/30,,,ラミネート,Ｌ2号機,2026/06/22 確,0,スリッター,３号機,2026/06/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
